,question,full_answer,drag_question,correct_answer,draggables
88,"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",Rocks can break apart into smaller pieces in many ways. Ice wedging is common where water goes above and below its freezing point ( Figure below ). This can happen in winter in the mid-latitudes or in colder climates in summer. Ice wedging is common in mountainous regions like the Sierra Nevada pictured above.,Rocks can break apart into smaller _____ in many ways. Ice wedging is common where water _____ above and below its freezing point ( Figure below ). This can happen in winter in the mid-latitudes or in colder climates in _____. Ice wedging is common in mountainous _____ like the Sierra _____ pictured above.,"goes, summer, regions, Nevada, midlatitudes, pieces","goes, summer, midlatitudes, regions, pieces, Nevada"
90,What type of reactions form compounds?,"A compound is a unique substance that forms when two or more elements combine chemically. Compounds form as a result of chemical reactions. The elements in compounds are held together by chemical bonds. A chemical bond is a force of attraction between atoms or ions that share or transfer valence electrons. For a video introduction to compounds, go to this URL: http://www. youtube. com/watch?v=-HjMoTthEZ0 .","A compound is a unique substance that forms when two or _____ elements combine chemically. _____ _____ as a result of chemical reactions. The elements in compounds are _____ _____ by chemical bonds. A chemical bond is a force of attraction between atoms or ions that share or transfer valence electrons. For a video _____ to compounds, go to this URL: http://www. youtube. com/watch?v=-HjMoTthEZ0 .","Compounds, form, held, together, introduction, more","introduction, Compounds, form, held, together, more"
95,What is the term for the force of attraction between things that have a mass?,"Gravity has traditionally been defined as a force of attraction between things that have mass. According to this conception of gravity, anything that has mass, no matter how small, exerts gravity on other matter. Gravity can act between objects that are not even touching. In fact, gravity can act over very long distances. However, the farther two objects are from each other, the weaker is the force of gravity between them. Less massive objects also have less gravity than more massive objects.","Gravity has traditionally been defined as a force of attraction between things that have mass. According to this conception of gravity, anything that has mass, no matter _____ _____, exerts gravity on other matter. Gravity can act between objects that are not even _____. In _____, gravity can act over very long _____. However, the farther _____ objects are from each other, the weaker is the force of gravity between them. Less massive objects also have less gravity than more massive objects.","two, fact, touching, distances, how, small","fact, distances, two, touching, how, small"
96,What preventive measure can protect even young children against diseases such as viral meningitis?,Children as young as 2 years of age can be vaccinated against viral meningitis.,_____ as _____ as 2 _____ of _____ _____ be vaccinated against _____ meningitis.,"young, years, can, Children, viral, age","age, young, viral, can, years, Children"
100,Titration is a method to determine what in acids or bases?,The concentration of an acid or base can be determined by titration.,The _____ of an _____ or _____ _____ be _____ by _____.,"acid, determined, base, can, concentration, titration","acid, concentration, determined, can, titration, base"
101,How many different amino acids make up proteins.,"There are 20 amino acids that make up proteins. With three bases per codon, there are 64 possible codons. This is more than enough to code for the 20 amino acids plus start and stop signals. You can see how to translate the genetic code in Figure below . Start at the center of the chart for the first base of each three-base codon. Then work your way out from the center for the second and third bases.","There are 20 amino acids that _____ up proteins. With three bases per codon, there are 64 _____ _____. This is more _____ enough to code for the 20 amino acids plus start and stop signals. You can see how to translate the genetic code in Figure below . Start at the center of the chart for the _____ base of each three-base codon. Then work _____ way out from the center for the second and third bases.","than, codons, your, make, possible, first","than, codons, make, your, possible, first"
103,What structure is made from dna and protein molecules coiled together?,"As a cell prepares to divide, its DNA first forms one or more structures called chromosomes. A chromosome consists of DNA and protein molecules coiled into a definite shape. Chromosomes are circular in prokaryotes and rodlike in eukaryotes. You can see an example of a human chromosome in Figure below . The rest of the time, DNA looks like a tangled mass of strings. In this form, it would be very difficult to copy and divide.","As a cell prepares to divide, _____ DNA first forms one or more structures called _____. A chromosome consists of DNA and _____ molecules coiled into a definite _____. Chromosomes are circular in prokaryotes and rodlike in eukaryotes. You can see an example of a human chromosome in Figure below . The _____ of the _____, DNA looks like a tangled mass of strings. In this form, it would be very difficult to copy and divide.","shape, its, time, protein, rest, chromosomes","rest, chromosomes, shape, protein, its, time"
105,"The radial artery and which artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region?","Arteries Serving the Upper Limbs As the subclavian artery exits the thorax into the axillary region, it is renamed the axillary artery. Although it does branch and supply blood to the region near the head of the humerus (via the humeral circumflex arteries), the majority of the vessel continues into the upper arm, or brachium, and becomes the brachial artery (Figure 20.31). The brachial artery supplies blood to much of the brachial region and divides at the elbow into several smaller branches, including the deep brachial arteries, which provide blood to the posterior surface of the arm, and the ulnar collateral arteries, which supply blood to the region of the elbow. As the brachial artery approaches the coronoid fossa, it bifurcates into the radial and ulnar arteries, which continue into the forearm, or antebrachium. The radial artery and ulnar artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region. At this level, they fuse to form the superficial and deep palmar arches that supply blood to the hand, as well as the digital arteries that supply blood to the digits. Figure 20.32 shows the distribution of systemic arteries from the heart into the upper limb. Table 20.9 summarizes the arteries serving the upper limbs.","Arteries Serving the Upper Limbs As the _____ artery exits the thorax into the axillary region, it is renamed the axillary artery. Although it does branch and supply blood to the region near the head of the humerus (via the humeral circumflex arteries), the majority of the vessel continues into the upper arm, or brachium, and becomes the brachial artery (Figure 20.31). The brachial artery supplies blood to much of the brachial region and divides at the elbow into several smaller branches, including the deep brachial arteries, which provide blood to the posterior surface of the arm, and the ulnar collateral arteries, which supply blood to the region of the elbow. As the brachial artery approaches the coronoid fossa, it bifurcates into the radial and ulnar arteries, which continue into the forearm, or antebrachium. The radial artery and ulnar artery _____ their namesake bones, giving off smaller branches until they reach the wrist, or carpal region. At this level, they _____ to form the superficial and deep _____ arches that supply blood to the hand, as well as the digital arteries that supply blood to the _____. Figure 20.32 shows the distribution of systemic arteries from the heart into the upper limb. _____ 20.9 summarizes the arteries serving the upper limbs.","parallel, digits, subclavian, palmar, fuse, Table","palmar, Table, fuse, subclavian, digits, parallel"
106,The bones of the skull are connected by what type of joints?,Immovable joints allow no movement because the bones at these joints are held securely together by dense collagen. The bones of the skull are connected by immovable joints.,Immovable joints allow no movement _____ the bones at these joints are _____ _____ together by dense collagen. The bones of the _____ are _____ by _____ joints.,"securely, skull, connected, immovable, because, held","skull, securely, held, connected, immovable, because"
108,What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,The key to continued growth and repair of plant cells is meristem . Meristem is a type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate. Meristem at the tips of roots and stems allows them to grow in length. This is called primary growth. Meristem within and around vascular tissues allows growth in width. This is called secondary growth.,The _____ to continued growth and _____ of plant cells is meristem . Meristem is a _____ of plant tissue consisting of _____ cells that can _____ to _____ and differentiate. Meristem at the tips of roots and stems allows them to grow in length. This is called primary growth. Meristem within and around vascular tissues allows growth in width. This is called secondary growth.,"repair, divide, undifferentiated, key, continue, type","repair, undifferentiated, divide, continue, type, key"
110,The passing of traits from parents to offspring is done through what?,"Genetics is the study of inheritance. Inheritance is the passing of traits from parents to offspring. How are these traits ""passed""? Through DNA, which is the genetic material of all organisms. This concept will focus on genetics, inheritance, and DNA.","_____ is the study of inheritance. _____ is the passing of traits from parents to offspring. How are these traits ""passed""? Through DNA, which is the _____ material of _____ _____. This concept will _____ on genetics, inheritance, and DNA.","Inheritance, genetic, focus, organisms, Genetics, all","organisms, focus, Genetics, genetic, all, Inheritance"
113,Red litmus paper turns what color when placed in a basic solution?,Red litmus paper turns blue when placed in a basic solution.,Red _____ _____ _____ blue _____ _____ in a basic _____.,"litmus, solution, paper, placed, turns, when","when, turns, placed, litmus, paper, solution"
119,What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?,"A cell membrane is essentially a mixture of phospholipids that form a phospholipid bilayer. One definition of a cell is a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself. The simplest cells are bacteria, which consist of only a single compartment surrounded by a single membrane. Animal and plant cells are much more complex, however, and contain many different kinds of compartments, each surrounded by a membrane and able to carry out specialized tasks.","A cell membrane is essentially a mixture of phospholipids that _____ a phospholipid bilayer. _____ definition of a cell is a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself. The simplest cells are _____, which consist of only a single compartment surrounded by a single membrane. Animal and plant cells are much more _____, however, and contain many _____ kinds of compartments, each surrounded by a membrane and able to carry out specialized _____.","form, bacteria, different, One, tasks, complex","tasks, One, different, form, bacteria, complex"
124,What is the boiling and freezing point of water in celcius?,"Melting and boiling points are somewhat unique identifiers, especially of compounds. In addition to giving some idea as to the identity of the compound, important information can be obtained about the purity of the material.","Melting and boiling points are somewhat _____ identifiers, especially of compounds. In addition to giving some idea as to the identity of the _____, important _____ can be _____ _____ the _____ of the material.","compound, purity, information, obtained, about, unique","information, about, compound, obtained, unique, purity"
129,"When a series of measurements is precise but not what, the error is usually systematic?","0 .033 g 1 .117 g × 100 = 3 .0% When a series of measurements is precise but not accurate, the error is usually systematic. Systematic errors can be caused by faulty instrumentation or faulty technique. The difference between accuracy and precision is demonstrated in Skill Builder ES7.","0 .033 g 1 ._____ g × 100 = 3 .0% When a _____ of _____ is precise _____ not accurate, the _____ is _____ systematic. Systematic errors can be caused by faulty instrumentation or faulty technique. The difference between accuracy and precision is demonstrated in Skill Builder ES7.","usually, 117, series, measurements, error, but","usually, 117, series, but, error, measurements"
130,Inserting copies of normal genes into a patient with defective genes is known as?,"treat genetic disorders. For example, copies of a normal gene might be inserted into a patient with a defective gene. This is called gene therapy . Ideally, it can cure a genetic disorder.","treat genetic disorders. For example, copies of a _____ gene might be _____ into a patient with a defective gene. This is called gene _____ . _____, it _____ cure a genetic _____.","therapy, normal, Ideally, can, disorder, inserted","normal, therapy, Ideally, disorder, can, inserted"
132,What science includes many fields of science related to our home planet?,Earth science includes many fields of science related to our home planet.,_____ science _____ many fields of science _____ to _____ _____ _____.,"related, includes, planet, Earth, home, our","our, planet, Earth, home, includes, related"
133,What are alloys that are mostly composed of mercury known as?,"Alloys that are mostly composed of mercury are known as amalgams . Amalgams often have special properties that stem from the fact that mercury exists as a liquid at room temperature. As a result, metal amalgams are used for a variety of purposes, including dentistry and the extraction of other pure metals such as gold.","Alloys that are mostly composed of mercury are known as amalgams . Amalgams often have _____ properties that stem from the fact that mercury exists as a _____ at room temperature. As a _____, metal amalgams are _____ for a _____ of purposes, _____ dentistry and the extraction of other pure metals such as gold.","including, liquid, used, variety, result, special","including, variety, result, liquid, special, used"
134,What are made from highly reflective metal that is applied to a curved or flat piece of glass?,"Mirrors are made from highly reflective metal that is applied to a curved or flat piece of glass. Converging mirrors can be used to focus light – headlights, telescopes, satellite TV receivers, and solar cookers all rely on this principle.","Mirrors are made from highly _____ metal that is _____ to a _____ or _____ piece of glass. Converging _____ can be used to focus light – headlights, telescopes, satellite TV receivers, and solar cookers _____ rely on this principle.","mirrors, applied, flat, all, reflective, curved","applied, curved, flat, reflective, all, mirrors"
135,How many types of surface waves are there?,"Surface waves travel along the ground outward from an earthquake’s epicenter. Surface waves are the slowest of all seismic waves. They travel at 2.5 km (1.5 miles) per second. There are two types of surface waves. Love waves move side-to-side, much like a snake. Rayleigh waves produce a rolling motion as they move up and backward ( Figure above ). Surface waves cause objects to fall and rise. They also cause objects to sway back and forth. These motions cause damage to rigid structures during an earthquake.","Surface waves travel along the _____ outward from an _____ epicenter. Surface waves are the slowest of all seismic waves. They travel at 2.5 km (1.5 miles) per _____. There are two types of surface waves. Love waves move side-to-side, _____ like a snake. Rayleigh waves produce a rolling motion as they move up and backward ( Figure _____ ). Surface waves cause objects to fall and rise. They also cause objects to sway back and forth. These motions cause damage to _____ structures during an earthquake.","rigid, second, ground, much, above, earthquake’s","rigid, ground, second, earthquake’s, above, much"
137,"Surface tension of alveolar fluid, which is mostly water, creates an inward pull of the tissue of what organ?","Intrapleural pressure is the pressure of the air within the pleural cavity, between the visceral and parietal pleurae. Similar to intra-alveolar pressure, intrapleural pressure also changes during the different phases of breathing. However, due to certain characteristics of the lungs, the intrapleural pressure is always lower than, or negative to, the intra-alveolar pressure (and therefore also to atmospheric pressure). Although it fluctuates during inspiration and expiration, intrapleural pressure remains approximately –4 mm Hg throughout the breathing cycle. Competing forces within the thorax cause the formation of the negative intrapleural pressure. One of these forces relates to the elasticity of the lungs themselves—elastic tissue pulls the lungs inward, away from the thoracic wall. Surface tension of alveolar fluid, which is mostly water, also creates an inward pull of the lung tissue. This inward tension from the lungs is countered by opposing forces from the pleural fluid and thoracic wall. Surface tension within the pleural cavity pulls the lungs outward. Too much or too little pleural fluid would hinder the creation of the negative intrapleural pressure; therefore, the level must be closely monitored by the mesothelial cells and drained by the lymphatic system. Since the parietal pleura is attached to the thoracic wall, the natural elasticity of the chest wall opposes the inward pull of the lungs. Ultimately, the outward pull is slightly greater than the inward pull, creating the –4 mm Hg intrapleural pressure relative to the intraalveolar pressure. Transpulmonary pressure is the difference between the intrapleural and intra-alveolar pressures, and it determines the size of the lungs. A higher transpulmonary pressure corresponds to a larger lung.","Intrapleural pressure is the pressure of the air within the pleural cavity, between the visceral and parietal pleurae. Similar to intra-alveolar pressure, intrapleural pressure also changes during the different phases of breathing. _____, due to _____ characteristics of the lungs, the intrapleural pressure is always lower than, or negative to, the intra-alveolar pressure (and therefore also to atmospheric pressure). Although it fluctuates during inspiration and expiration, intrapleural pressure remains approximately –4 mm Hg throughout the breathing cycle. _____ forces within the _____ cause the formation of the negative intrapleural pressure. One of these forces relates to the elasticity of the lungs themselves—elastic tissue pulls the lungs inward, away from the thoracic wall. Surface tension of alveolar fluid, which is mostly water, also creates an inward pull of the lung tissue. This inward tension from the lungs is countered by opposing forces from the pleural fluid and thoracic wall. Surface tension within the pleural cavity pulls the lungs outward. Too much or too little pleural fluid would hinder the creation of the negative intrapleural pressure; therefore, the level must be closely monitored by the mesothelial cells and drained by the lymphatic _____. Since the parietal pleura is attached to the thoracic wall, the natural elasticity of the chest wall _____ the inward pull of the lungs. Ultimately, the outward pull is slightly greater than the inward pull, creating the –4 mm Hg intrapleural pressure relative to the intraalveolar pressure. Transpulmonary pressure is the difference between the intrapleural and intra-alveolar pressures, and it determines the size of the lungs. A higher transpulmonary pressure corresponds to a larger lung.","opposes, However, certain, system, thorax, Competing","Competing, opposes, thorax, However, certain, system"
138,What supports and protects the soft organs of the body?,"Protection. The skeleton supports and protects the soft organs of the body. For example, the skull surrounds the brain to protect it from injury. The bones of the rib cage help protect the heart and lungs.","Protection. The _____ supports and protects the _____ organs of the body. For example, the skull surrounds the _____ to protect it from injury. The _____ of the rib cage _____ protect the heart and _____.","lungs, skeleton, brain, help, soft, bones","help, bones, lungs, skeleton, brain, soft"
144,"What is defined as a repeating series of events that include growth, dna synthesis, and cell division?","Cell division is just one of several stages that a cell goes through during its lifetime. The cell cycle is a repeating series of events that include growth, DNA synthesis, and cell division. The cell cycle in prokaryotes is quite simple: the cell grows, its DNA replicates, and the cell divides. In eukaryotes, the cell cycle is more complicated.","Cell division is just one of several stages that a cell goes _____ _____ its lifetime. The cell cycle is a _____ series of events that include growth, DNA synthesis, and cell division. The cell cycle in _____ is quite simple: the cell grows, its DNA _____, and the cell divides. In _____, the cell cycle is more complicated.","replicates, during, eukaryotes, through, prokaryotes, repeating","prokaryotes, eukaryotes, replicates, repeating, through, during"
148,"As a polycrystalline material solidifies, grains with irregular shapes form. the interfaces between grains constitute grain what?","Grain boundaries. As a polycrystalline material solidifies, grains with irregular shapes form. The interfaces between grains constitute grain boundaries. (Squares represent unit cells within grains.","Grain boundaries. As a polycrystalline material solidifies, grains with irregular _____ _____. The _____ between grains constitute grain boundaries. (_____ _____ unit cells _____ grains.","interfaces, represent, shapes, within, Squares, form","form, represent, shapes, interfaces, Squares, within"
150,What makes and stores pigments that give petals and fruit their orange and yellow colors?,Chromoplasts make and store pigments that give petals and fruit their orange and yellow colors.,_____ make and store _____ that give petals and _____ _____ orange and _____ _____.,"their, pigments, Chromoplasts, colors, yellow, fruit","pigments, their, Chromoplasts, fruit, colors, yellow"
156,Runoff is likely to cause more what if the land is bare?,"Runoff is likely to cause more erosion if the land is bare. Plants help hold the soil in place. The runoff water in Figure below is brown because it eroded soil from a bare, sloping field. Can you find evidence of erosion by runoff where you live? What should you look for?.","_____ is likely to cause more erosion if the land is bare. Plants _____ hold the soil in place. The runoff water in Figure _____ is brown because it _____ soil from a bare, sloping field. Can you find evidence of erosion by runoff _____ you _____? What should you look for?.","eroded, live, below, help, where, Runoff","where, Runoff, help, eroded, live, below"
157,Cations have what type of charge?,"Cations have positive charges, and anions have negative charges.","_____ have _____ _____, and _____ have _____ _____.","anions, positive, negative, Cations, charges","positive, charges, anions, negative, Cations"
158,"What organ is subdivided into ascending, descending, transverse and sigmoid parts?","Colon The cecum blends seamlessly with the colon. Upon entering the colon, the food residue first travels up the ascending colon on the right side of the abdomen. At the inferior surface of the liver, the colon bends to form the right colic flexure (hepatic flexure) and becomes the transverse colon. The region defined as hindgut begins with the last third of the transverse colon and continues on. Food residue passing through the transverse colon travels across to the left side of the abdomen, where the colon angles sharply immediately inferior to the spleen, at the left colic flexure (splenic flexure). From there, food residue passes through the descending colon, which runs down the left side of the posterior abdominal wall. After entering the pelvis inferiorly, it becomes the s-shaped sigmoid colon, which extends medially to the midline (Figure 23.21). The ascending and descending colon, and the rectum (discussed next) are located in the retroperitoneum. The transverse and sigmoid colon are tethered to the posterior abdominal wall by the mesocolon.","Colon The _____ blends seamlessly with the colon. Upon entering the colon, the _____ residue first travels up the ascending colon on the right side of the abdomen. At the inferior _____ of the _____, the colon bends to form the right colic flexure (hepatic flexure) and becomes the transverse colon. The region defined as hindgut begins with the last third of the transverse colon and continues on. Food residue passing through the transverse colon travels across to the left side of the abdomen, where the colon angles sharply immediately inferior to the spleen, at the left colic flexure (splenic flexure). From there, _____ residue passes through the descending colon, which runs down the left side of the posterior abdominal wall. After entering the pelvis inferiorly, it becomes the s-shaped sigmoid colon, which extends medially to the midline (Figure 23.21). The ascending and descending colon, and the rectum (discussed next) are _____ in the retroperitoneum. The transverse and sigmoid colon are tethered to the posterior abdominal wall by the mesocolon.","2321, located, surface, liver, cecum, food","surface, liver, 2321, cecum, food, located"
161,Comparing what sequences provides clues to evolution and development?,21.6 Comparing genome sequences provides clues to evolution and development.,21.6 _____ _____ sequences _____ _____ to _____ and development.,"216, Comparing, evolution, clues, genome, provides","provides, Comparing, genome, 216, clues, evolution"
162,"What is a measure of the average amount of energy of motion, or kinetic energy, a system contains called?","There are other units in chemistry that are important, and we will cover others in the course of the entire book. One of the fundamental quantities in science is temperature. Temperature is a measure of the average amount of energy of motion, or kinetic energy, a system contains. Temperatures are expressed using scales that use units called degrees, and there are several temperature scales in use. In the United States, the commonly used temperature scale is the Fahrenheit scale (symbolized by °F and spoken as “degrees Fahrenheit”). On this scale, the freezing point of liquid water (the temperature at which liquid water turns to solid ice) is 32°F, and the boiling point of water (the temperature at which liquid water turns to steam) is 212°F. Science also uses other scales to express temperature. The Celsius scale (symbolized by °C and spoken as “degrees Celsius”) is a temperature scale where 0°C is the freezing point of water and 100°C is the boiling point of water; the scale is divided into 100 divisions between these two landmarks and extended higher and lower. By comparing the Fahrenheit and Celsius scales, a conversion between the two scales can be determined: °C=(°F–32) × 59° Saylor URL: http://www. saylor. org/books.","There are other units in _____ that are _____, and we will cover others in the course of the entire book. One of the fundamental quantities in science is temperature. Temperature is a measure of the average _____ of energy of motion, or kinetic energy, a system contains. Temperatures are expressed using scales that use units called degrees, and there are several temperature scales in use. In the United States, the commonly used temperature scale is the Fahrenheit scale (symbolized by °F and spoken as “degrees Fahrenheit”). On this scale, the freezing point of liquid water (the temperature at which liquid water turns to _____ _____) is 32°F, and the boiling point of water (the temperature at which liquid water turns to steam) is 212°F. Science also uses other scales to express temperature. The Celsius scale (symbolized by °C and spoken as “degrees Celsius”) is a temperature scale where 0°C is the freezing point of water and 100°C is the boiling point of water; the scale is divided _____ 100 divisions between these two landmarks and extended higher and lower. By comparing the Fahrenheit and Celsius scales, a conversion between the two scales can be determined: °C=(°F–32) × 59° Saylor URL: http://www. saylor. org/books.","into, amount, ice, important, solid, chemistry","amount, solid, important, ice, into, chemistry"
164,Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and what properties?,Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and chemical properties.,_____ _____ are cyclic and adopt _____ three-dimensional structures that influence _____ _____ and _____ properties.,"hydrocarbons, physical, Many, specific, chemical, their","specific, chemical, their, Many, physical, hydrocarbons"
165,"The secondary wall contains _________ , a secondary cell component in plant cells that have completed cell growth/expansion.","Microtubules guide the formation of the plant cell wall. Cellulose is laid down by enzymes to form the primary cell wall. Some plants also have a secondary cell wall. The secondary wall contains a lignin, a secondary cell component in plant cells that have completed cell growth/expansion.","Microtubules guide the _____ of the plant cell wall. _____ is _____ _____ by enzymes to form the primary cell wall. _____ plants also have a secondary cell wall. The secondary wall contains a _____, a secondary cell component in plant cells that have completed cell growth/expansion.","formation, Cellulose, down, lignin, Some, laid","Some, down, formation, Cellulose, lignin, laid"
166,What does the cell cycle do?,"The cell cycle is a repeating series of events, characterizing the life of a eukaryotic cell.","The cell _____ is a _____ _____ of _____, characterizing the _____ of a _____ cell.","eukaryotic, life, repeating, events, series, cycle","life, repeating, series, cycle, eukaryotic, events"
167,"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?","Inside the nasal area of the skull, the nasal cavity is divided into halves by the nasal septum. The upper portion of the nasal septum is formed by the perpendicular plate of the ethmoid bone and the lower portion is the vomer bone. Each side of the nasal cavity is triangular in shape, with a broad inferior space that narrows superiorly. When looking into the nasal cavity from the front of the skull, two bony plates are seen projecting from each lateral wall. The larger of these is the inferior nasal concha, an independent bone of the skull. Located just above the inferior concha is the middle nasal concha, which is part of the ethmoid bone. A third bony plate, also part of the ethmoid bone, is the superior nasal concha. It is much smaller and out of sight, above the middle concha. The superior nasal concha is located just lateral to the perpendicular plate, in the upper nasal cavity.","_____ the nasal area of the skull, the nasal cavity is divided into halves by the nasal septum. The upper portion of the nasal septum is formed by the perpendicular plate of the ethmoid bone and the lower portion is the vomer bone. Each side of the nasal cavity is triangular in _____, with a _____ inferior space that narrows superiorly. When looking into the nasal cavity from the front of the skull, two bony _____ are seen projecting from each lateral wall. The larger of these is the inferior nasal concha, an independent bone of the skull. Located just above the inferior concha is the middle nasal concha, which is part of the ethmoid bone. A third bony plate, _____ part of the ethmoid bone, is the superior nasal concha. It is much smaller and _____ of sight, above the middle concha. The superior nasal concha is located just lateral to the perpendicular plate, in the upper nasal cavity.","shape, plates, Inside, also, out, broad","out, shape, also, broad, plates, Inside"
170,How many variables are used to describe the condition of a gas?,"Recall from the kinetic-molecular theory that gas particles move randomly and in straight lines until they elastically collide with either other gas particles or with one of the walls of the container. It is these collisions with the walls of the container that defines the pressure of the gas. Four variables are used to describe the condition of a gas. They are pressure , volume , temperature , and the amount of the gas as measured by the number moles . We will examine separately how the volume, temperature, and amount of gas each affect the pressure of an enclosed gas sample.","Recall from the kinetic-molecular theory that gas particles move randomly and in straight lines until they elastically collide with either other gas particles or with one of the walls of the container. It is these collisions with the walls of the container that defines the pressure of the gas. Four variables are used to describe the _____ of a gas. They are pressure , _____ , temperature , and the amount of the gas as measured by the number _____ . We will examine _____ _____ the _____, temperature, and amount of gas each affect the pressure of an enclosed gas sample.","separately, volume, how, moles, condition, kineticmolecular","kineticmolecular, moles, condition, volume, how, separately"
173,What type of treatment is necessary for anaphylaxis?,"In some people, a food allergy can trigger a severe allergic reaction called anaphylaxis. Emergency treatment is critical for anaphylaxis. Untreated, anaphylaxis can cause a coma or death. Anaphylaxis is vary rare. The vast majority of people will never have an anaphylactic reaction. The life-threatening symptoms of anaphylaxis include:.","In some people, a food allergy can trigger a severe allergic reaction _____ anaphylaxis. _____ treatment is critical for anaphylaxis. Untreated, anaphylaxis can cause a _____ or death. Anaphylaxis is vary _____. The vast majority of people will _____ have an anaphylactic reaction. The life-threatening symptoms of anaphylaxis _____:.","never, called, coma, include, Emergency, rare","rare, coma, called, Emergency, never, include"
174,"What substances, which are distinct from acids and bases, form when ions form ionic bonds?","Salts Recall that salts are formed when ions form ionic bonds. In these reactions, one atom gives up one or more electrons, and thus becomes positively charged, whereas the other accepts one or more electrons and becomes negatively charged. You can now define a salt as a substance that, when dissolved in water, dissociates into ions other than H+ or OH–. This fact is important in distinguishing salts from acids and bases, discussed next. A typical salt, NaCl, dissociates completely in water (Figure 2.15). The positive and negative regions on the water molecule (the hydrogen and oxygen ends respectively) attract the negative chloride and positive sodium ions, pulling them away from each other. Again, whereas nonpolar and polar covalently bonded compounds break apart into molecules in solution, salts dissociate into ions. These ions are electrolytes; they are capable of conducting an electrical current in solution. This property is critical to the function of ions in transmitting nerve impulses and prompting muscle contraction.","Salts Recall that salts are formed when ions form _____ bonds. In these reactions, one _____ _____ up one or more electrons, and thus becomes positively charged, whereas the other accepts one or more electrons and becomes _____ charged. You can now define a salt as a substance that, when dissolved in water, dissociates into ions other than H+ or OH–. This fact is important in distinguishing salts from acids and bases, discussed next. A typical salt, NaCl, dissociates completely in water (Figure 2.15). The positive and negative regions on the water molecule (the hydrogen and oxygen ends respectively) attract the negative chloride and positive sodium ions, pulling them away from each other. Again, whereas nonpolar and polar covalently bonded compounds break apart into molecules in solution, salts dissociate into ions. These ions are electrolytes; they are capable of conducting an _____ current in solution. This property is critical to the function of ions in transmitting nerve impulses and prompting muscle contraction.","atom, negatively, OH–, gives, ionic, electrical","gives, negatively, ionic, atom, electrical, OH–"
179,What two ways may light be transmitted?,Transmitted light may be refracted or scattered. When does each process occur?.,_____ light _____ be refracted or scattered. _____ _____ _____ process _____?.,"Transmitted, does, each, may, When, occur","each, does, Transmitted, When, may, occur"
180,"Triggered by changes in the environment, migration and hibernation occur as cycles on what temporal basis?","Examples of behaviors with annual cycles include migration and hibernation. Both are innate behaviors. They are triggered by changes in the environment, such as the days growing shorter in the fall.","Examples of behaviors with annual cycles include _____ and hibernation. Both are innate behaviors. _____ are triggered by changes in the environment, _____ as the _____ growing _____ in the _____.","They, shorter, such, days, fall, migration","days, They, shorter, migration, such, fall"
181,What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?,Extending from the upper corners of the uterus are the two fallopian tubes. Each tube reaches (but is not attached to) one of the ovaries. The ovary end of the tube has a fringelike structure that moves in waves. The motion sweeps eggs from the ovary into the tube.,Extending from the _____ corners of the _____ are the two fallopian tubes. Each tube reaches (but is not attached to) one of the ovaries. The ovary end of the tube has a _____ structure that _____ in waves. The _____ sweeps _____ from the ovary into the tube.,"eggs, moves, uterus, fringelike, motion, upper","upper, moves, motion, eggs, fringelike, uterus"
183,What forms when the spores from two parents fuse during sexual reproduction?,Sexual reproduction occurs when spores from two parents fuse and form a zygospore.,Sexual reproduction _____ when _____ from two _____ _____ and _____ a _____.,"form, occurs, spores, zygospore, fuse, parents","form, zygospore, occurs, spores, fuse, parents"
184,What is the name of the galaxy we live in?,"Like other spiral galaxies, our galaxy has a disk, a central bulge, and spiral arms. The disk is about 100,000 light-years across and 3,000 light-years thick. Most of the Galaxy’s gas, dust, young stars, and open clusters are in the disk.","_____ other _____ galaxies, _____ galaxy has a disk, a central bulge, and _____ arms. The disk is about 100,000 light-years across and 3,000 light-years thick. Most of the _____ gas, dust, young stars, and open _____ are in the disk.","Galaxy’s, our, Like, clusters, 3000, spiral","Like, clusters, Galaxy’s, 3000, our, spiral"
