,question,correct_answer
565,How many different kinds of ions are produced when sodium chloride dissociates ?,"The sodium chloride dissociates into two ions, while the glucose does not dissociate. Therefore, equal concentrations of each solution will result in twice as many dissolved particles in the case of the sodium chloride. The vapor pressure of the sodium chloride solution will be lowered twice the amount as the glucose solution."
566,What mineral is made of one silicon atom and two oxygen atoms?,5. Quartz is made of one silicon atom and two oxygen atoms. If you find a mineral and find that it is made of one silicon atom and one oxygen atom is it quartz?.
568,Gas particles can move randomly in what directions?,Christopher Auyeung. Gas particles move randomly in all directions . CC BY-NC 3.0.
569,The total number of protons and neutorns in an atom is called what?,The mass number is defined as the total number of protons and neutrons in an atom.
574,"According to count rumford, which two are equivalent ways of transferring energy?","In the 1780s, an American scientist named Benjamin Thompson, also known as Count Rumford, was hired by the Elector of Bavaria to supervise the manufacture of cannons. During the manufacturing process, teams of horses harnessed to a large-toothed wheel supplied the power needed to drill a hole several inches in diameter straight down the center of a solid brass or bronze cylinder, which was cooled by water. Based on his observations, Rumford became convinced that heat and work are equivalent ways of transferring energy."
582,How does alcohol expand over a wide range of temperatures?,The red liquid in this thermometer is alcohol. Alcohol expands uniformly over a wide range of temperatures. This makes it ideal for use in thermometers.
583,How many years ago may the earliest fungi have evolved?,The earliest fungi may have evolved about 600 million years ago.
584,What are the bones in partly movable joints held in place by?,Partly movable joints allow only very limited movement. Bones at these joints are held in place by cartilage. The ribs and sternum are connected by partly movable joints.
591,What is the base unit that frequency is typically measured in?,"The frequency , , is the number of cycles an object goes through in 1 second. Frequency is measured in Hertz (Hz). 1 Hz = 1 cycle per sec."
592,Controlling muscles and maintaining balance are just two of the roles of what system?,Controlling muscles and maintaining balance are just two of the roles of the nervous system. The nervous system also lets you:.
593,Displacement divided by time is equal to the average what?,Average velocity is displacement divided by time.
595,What term describes an imbalance of attractive forces between liquid molecules at the surface of a liquid?,Surface tension is an imbalance of attractive forces between liquid molecules at the surface of a liquid.
599,"Like other bryophytes, moss plants spend most of their life cycle as?","Like other bryophytes, moss plants spend most of their life cycle as gametophytes. Find the sporophyte in the diagram. Do you see how it is growing on the gametophyte plant?."
600,What is a benefit of low sulfur coal over high sulfur coal?,Low sulfur coal produces less pollution when burned than high sulfur coal. Name one factor that affects the sulfur content in coal.
603,What tissue do clubmosses have that mosses do not?,"Clubmosses can resemble mosses; however, clubmosses have vascular tissue, while mosses do not."
604,"The average human body contains 5,830 g of what?","The average human body contains 5,830 g of blood. What mass of arsenic is present in the body if the amount in blood is 0.55 ppm?."
605,What type of speciation occurs when groups from the same species are geographically isolated for long periods?,Allopatric speciation occurs when groups from the same species are geographically isolated for long periods. Imagine all the ways that plants or animals could be isolated from each other:.
606,What can damage the hair cells lining the cochlea of the inner ear?,Loud sounds can damage the hair cells lining the cochlea of the inner ear. Explain how this might affect the ability to hear sound.
610,"Radiation, chemicals, and infectious agents are types of what?","Types of mutagens include radiation, chemicals, and infectious agents."
616,"Cells in blood include red blood cells, white blood cells, and what?","Cells in blood include red blood cells, white blood cells, and platelets."
617,What substance is created when a copper turns from reddish brown to greenish brown?,A: Another example of matter changing color is a penny changing from reddish brown to greenish brown as it becomes tarnished. The color change indicates that a new chemical substance has been produced. Copper on the surface of the penny has combined with oxygen in the air to produce a different substance called copper oxide.
