question,answer,question_with_blanks,draggables
What does a theory need to be supported by?,"In science, a theory has been repeatedly shown to be true. A theory is supported by many observations. However, a theory may be disproved if conflicting data is discovered. Many important theories have been shown to be true by many observations and experiments and are extremely unlikely to be disproved. These include the theory of plate tectonics and the theory of evolution.","In science, a theory has been repeatedly shown to be true. A theory is supported by many observations. However, a theory [DROP] be disproved if conflicting data is discovered. Many important theories have been shown to be true [DROP] many observations and experiments [DROP] [DROP] extremely unlikely to be [DROP] These include the theory of plate tectonics [DROP] the theory of evolution.","may, by, and, are, disproved., and"
Producing sperm and secreting testosterone are the main functions of what system?,The main functions of the male reproductive system are to produce sperm and secrete testosterone.,[DROP] main functions [DROP] the male [DROP] system are to produce sperm and secrete testosterone.,"The, of, reproductive"
"Metallic bonds allow metals to do what, in the manner of a willow tree?","The thick, rigid trunk of the oak tree on the left might crack and break in a strong wind. The slim, flexible trunk of the willow tree on the right might bend without breaking. In one way, metals are like willow trees. They can bend without breaking. That’s because metals form special bonds called metallic bonds.","The [DROP] rigid trunk of the oak tree on the left might crack and break in a strong wind. [DROP] [DROP] flexible trunk of the willow tree on the right might [DROP] without breaking. In one way, metals are like willow trees. They can bend without breaking. [DROP] because metals form special bonds called metallic bonds.","thick,, The, slim,, bend, That’s"
What is the term for animals that eat producers to get energy?,"Herbivores are animals that eat producers to get energy. For example, rabbits and deer are herbivores that eat plants. The caterpillar pictured below ( Figure below ) is a herbivore. Animals that eat phytoplankton in aquatic environments are also herbivores.","Herbivores are animals that eat producers to get [DROP] For example, [DROP] and [DROP] are herbivores that eat plants. The caterpillar pictured below ( Figure below ) is a herbivore. Animals that eat phytoplankton in aquatic environments are also [DROP]","energy., rabbits, deer, herbivores."
What do neutral atoms have the same number of?,"Summary Each atom of an element contains the same number of protons, which is theatomic number (Z). Neutral atoms have the same number of electrons and protons. Atoms of an element that contain different numbers of neutrons are calledisotopes. Each isotope of a given element has the same atomic number but a different mass number (A), which is the sum of the numbers of protons and neutrons. The relative masses of atoms are reported using the atomic mass unit(amu), which is defined as one-twelfth of the mass of one atom of carbon-12, with 6 protons, 6 neutrons, and 6 electrons. The atomic mass of an element is the weighted average of the masses of the naturally occurring isotopes. When one or more electrons are added to or removed from an atom or molecule, a charged particle called an ion is produced, whose charge is indicated by a superscript after the symbol.","Summary Each atom of an element [DROP] the same number of protons, which is theatomic number (Z). Neutral atoms have the same number of electrons and protons. Atoms of an element [DROP] contain different numbers of neutrons are calledisotopes. Each isotope of a given element has the same atomic number but a different mass number (A), which is the sum of the numbers of protons and neutrons. The relative masses of atoms are reported using the atomic mass [DROP] which is defined as one-twelfth of the mass of one atom of carbon-12, with 6 protons, [DROP] neutrons, and 6 electrons. The atomic mass of an element is the weighted average of the masses of the naturally occurring isotopes. When one or [DROP] electrons are added [DROP] or removed from an atom or molecule, a charged particle called an ion is produced, whose charge is indicated by a superscript after the symbol.","contains, that, unit(amu),, 6, more, to"
What type of ionic compound is formed from acid and bases reacting with each other?,"Acids have some properties in common. They turn litmus, a plant extract, red. They react with some metals to give off H2 gas. They react with carbonate and hydrogen carbonate salts to give off CO2 gas. Acids that are ingested typically have a sour, sharp taste. (The name acid comes from the Latin word acidus, meaning “sour. ”) Bases also have some properties in common. They are slippery to the touch, turn litmus blue, and have a bitter flavor if ingested. Acids and bases have another property: they react with each other to make water and an ionic compound called a salt. A salt, in chemistry, is any ionic compound made by combining an acid with a base. A reaction between an acid and a base is called a neutralization reaction and can be represented as follows: acid + base → H2O + salt The stoichiometry of the balanced chemical equation depends on the number of H+ions in the acid and the number of OH− ions in the base.","Acids have some properties in common. They turn litmus, a plant extract, red. They react with some metals to give off H2 gas. They react with carbonate and hydrogen carbonate salts [DROP] give off CO2 gas. Acids that are [DROP] typically have a sour, sharp taste. (The name acid [DROP] from the [DROP] word acidus, meaning “sour. ”) Bases also have some properties in common. They are slippery to the touch, turn litmus blue, and have a bitter [DROP] if ingested. Acids and bases have another property: they react with each other to make water and an ionic compound called a salt. A salt, in chemistry, is any ionic compound made by combining an acid with a base. [DROP] reaction between an acid and a base is called a neutralization reaction and can be represented as follows: acid + base → H2O + salt The stoichiometry of the balanced chemical equation depends on the number of H+ions in the acid and the number of OH− ions in the base.","to, ingested, comes, Latin, flavor, A"
Which germ layers are essential for animal embryos to grow and develop into a body?,"The three germ layers are the endoderm, the ectoderm, and the mesoderm. Cells in each germ layer differentiate into tissues and embryonic organs. The ectoderm gives rise to the nervous system and the epidermis, among other tissues. The mesoderm gives rise to the muscle cells and connective tissue in the body. The endoderm gives rise to the gut and many internal organs. Organogenesis Gastrulation leads to the formation of the three germ layers that give rise during further development to the different organs in the animal body. This process is called organogenesis. Organs develop from the germ layers through the process of differentiation. During differentiation, the embryonic stem cells express specific sets of genes that will determine their ultimate cell type. For example, some cells in the ectoderm will express the genes specific to skin cells. As a result, these cells will take on the shape and characteristics of epidermal cells. The process of differentiation is regulated by location-specific chemical signals from the cell’s embryonic environment that sets in play a cascade of events that regulates gene expression.","The three germ layers [DROP] the endoderm, the ectoderm, and the mesoderm. Cells in each germ layer differentiate into tissues and embryonic organs. The ectoderm gives rise to the nervous system and the epidermis, among other tissues. The [DROP] gives rise to the muscle cells and connective tissue in the body. The endoderm gives rise to the gut and many internal organs. Organogenesis Gastrulation leads to the formation of the three germ layers that give rise during further development to [DROP] different organs in [DROP] animal body. This [DROP] is called organogenesis. [DROP] develop from the germ layers through the process of differentiation. During differentiation, the embryonic stem cells express specific sets of genes that will determine their ultimate cell type. For example, some cells in the ectoderm will express the genes specific to skin cells. As a result, these cells will take on the shape and characteristics of epidermal cells. The process of differentiation is regulated by location-specific chemical signals from the cell’s embryonic environment that sets in play a cascade of events that regulates gene expression.","are, mesoderm, the, the, process, Organs"
Birds adapted wings and weathers for flight during what process?,"Wings and feathers are two adaptations for flight that evolved in birds. Both are clearly displayed in the flying gull in Figure below . Wings evolved from the front limbs of a four-legged ancestor. The wings are controlled by large flight muscles in the chest. Feathers also help birds fly. They provide air resistance and lift. In addition, they provide insulation and serve other roles.","Wings and [DROP] are two adaptations for flight that evolved in birds. Both are clearly displayed in the flying gull in Figure below . Wings evolved from the front limbs of [DROP] [DROP] ancestor. The wings are controlled by large [DROP] muscles in the chest. Feathers also help birds fly. They provide air resistance and lift. In addition, they [DROP] [DROP] and serve other roles.","feathers, a, four-legged, flight, provide, insulation"
What is the name for membrane-bound sacs that function in storage and transport?,"Vesicles and Vacuoles Vesicles and vacuoles are membrane-bound sacs that function in storage and transport. Vacuoles are somewhat larger than vesicles, and the membrane of a vacuole does not fuse with the membranes of other cellular components. Vesicles can fuse with other membranes within the cell system. Additionally, enzymes within plant vacuoles can break down macromolecules.","Vesicles and Vacuoles Vesicles and vacuoles are membrane-bound sacs that function in storage and transport. Vacuoles [DROP] somewhat larger than vesicles, and the membrane of [DROP] vacuole does not fuse [DROP] the membranes of other cellular components. Vesicles can fuse with other membranes within [DROP] cell system. Additionally, enzymes within plant vacuoles can [DROP] down macromolecules.","are, a, with, the, break"
What shape is the gametophyte in ferns?,"In ferns, the sporophyte is dominant and produces spores that germinate into a heart-shaped gametophyte.","In ferns, the sporophyte is dominant and produces [DROP] that germinate [DROP] [DROP] heart-shaped gametophyte.","spores, into, a"
How is oxygen transferred into the bloodstream?,"The oxygen enters the bloodstream from the alveoli , tiny sacs in the lungs where gas exchange takes place ( Figure below ). The transfer of oxygen into the blood is through simple diffusion.","The oxygen enters the bloodstream from the alveoli , tiny sacs in the lungs [DROP] [DROP] exchange takes [DROP] ( Figure below ). The transfer of oxygen into the blood is through simple diffusion.","where, gas, place"
What disease can too little calcium cause?,"Not getting enough minerals can cause health problems. For example, too little calcium may cause osteoporosis. This is a disease in which bones become soft and break easily. Getting too much of some minerals can also cause health problems. Many people get too much sodium. Sodium is added to most packaged foods. People often add more sodium to their food by using table salt. Too much sodium causes high blood pressure in some people.","Not getting enough minerals can cause health [DROP] For example, too little calcium may cause osteoporosis. This is [DROP] disease in which bones become soft and break easily. Getting too much of some minerals can also cause [DROP] problems. Many [DROP] get too much sodium. Sodium is added to most packaged [DROP] People often add more sodium to their food by using table salt. Too [DROP] sodium causes high blood pressure in some people.","problems., a, health, people, foods., much"
"Water is polar and has electrically charged ends, so it is attracted to the oppositely charged end of a phospholipid molecule, which is described by what term meaning ""water-loving""?","One end of each phospholipid molecule is polar, so it has a partial electric charge. Water is also polar and has electrically charged ends, so it is attracted to the oppositely charged end of a phospholipid molecule. This end of the phospholipid molecule is described as hydrophilic, which means “water loving. ”.","One end of [DROP] phospholipid molecule is polar, so it has a partial electric charge. Water is also polar and has electrically charged ends, [DROP] it is attracted to the oppositely charged end of a phospholipid molecule. [DROP] end of the [DROP] molecule is described as hydrophilic, which means [DROP] loving. ”.","each, so, This, phospholipid, “water"
From what do tubeworms found deep in the galapagos rift get their energy from?,"Tubeworms deep in the Galapagos Rift get their energy from chemosynthetic bacteria. Tubeworms have no mouth, eyes or stomach. Their survival depends on a symbiotic relationship with the billions of bacteria that live inside them. These bacteria convert the chemicals that shoot out of the hydrothermal vents into food for the worm.","Tubeworms deep in the [DROP] Rift get their energy from chemosynthetic bacteria. Tubeworms have no mouth, eyes or stomach. [DROP] survival depends on a symbiotic relationship with the billions of bacteria that live inside them. These bacteria convert the chemicals [DROP] shoot out of the hydrothermal [DROP] into food for the [DROP]","Galapagos, Their, that, vents, worm."
In what organ is food remains turned into solid waste for excretion?,"Recall that carbon dioxide travels through the blood and is transferred to the lungs where it is exhaled. In the large intestine, the remains of food are turned into solid waste for excretion. How is waste other than carbon dioxide removed from the blood? That is the role of the kidneys.","Recall [DROP] carbon dioxide [DROP] through the blood and is transferred to the lungs where it is exhaled. In the large intestine, the remains of [DROP] are turned into solid waste for excretion. How is waste other than carbon [DROP] removed [DROP] the blood? That is the role of the kidneys.","that, travels, food, dioxide, from"
What type of maps detail detail the types and locations of rocks found in an area?,Geologic maps detail the types and locations of rocks found in an area.,[DROP] [DROP] detail the types and locations of rocks found [DROP] an area.,"Geologic, maps, in"
What is a benefit of low sulfur coal over high sulfur coal?,Low sulfur coal produces less pollution when burned than high sulfur coal. Name one factor that affects the sulfur content in coal.,Low sulfur coal produces less pollution when burned than high sulfur coal. [DROP] [DROP] factor that affects the sulfur [DROP] in coal.,"Name, one, content"
A chain of what structures form as an oceanic plate moves over a hotspot?,"A chain of volcanoes form as an oceanic plate moves over a hotspot. This is how it happens. A volcano forms over the hotspot. Since the plate is moving, the volcano moves off of the hotspot. When the hotspot erupts again, a new volcano forms over it. This volcano is next to the first. Over time, there is a line of volcanoes. The youngest is directly above the hotspot. The oldest is the farthest away ( Figure below ).","A chain of [DROP] form as an [DROP] plate moves over a hotspot. This is how it happens. A volcano [DROP] over the hotspot. Since the plate is moving, the volcano moves off of the hotspot. When the [DROP] erupts again, a new volcano [DROP] over it. This volcano is [DROP] to the first. Over time, there is a line of volcanoes. The youngest is directly above the hotspot. The oldest is the farthest away ( Figure below ).","volcanoes, oceanic, forms, hotspot, forms, next"
The unpaired ethmoid bone is located where within the central skull?,"Figure 7.12 Ethmoid Bone The unpaired ethmoid bone is located at the midline within the central skull. It has an upward projection, the crista galli, and a downward projection, the perpendicular plate, which forms the upper nasal septum. The cribriform plates form both the roof of the nasal cavity and a portion of the anterior cranial fossa floor. The lateral sides of the ethmoid bone form the lateral walls of the upper nasal cavity, part of the medial orbit wall, and give rise to the superior and middle nasal conchae. The ethmoid bone also contains the ethmoid air cells.","Figure 7.12 Ethmoid Bone The unpaired ethmoid bone is located at the midline within the central skull. It has an upward projection, the crista [DROP] and a downward projection, the perpendicular plate, which forms the [DROP] nasal septum. The cribriform plates form both the roof of the nasal cavity and a [DROP] of the anterior cranial fossa floor. The lateral sides of the ethmoid bone form the lateral walls of the upper nasal cavity, [DROP] of the [DROP] orbit wall, and give rise to the superior and middle nasal conchae. The ethmoid bone [DROP] contains the ethmoid air cells.","galli,, upper, portion, part, medial, also"
What is the simplest unit that has the fundamental chemical properties of an element?,"Covalent Molecules and Compounds Just as an atom is the simplest unit that has the fundamental chemical properties of an element, a molecule is the simplest unit that has the fundamental chemical properties of a covalent compound. Some pure elements exist as covalent molecules. Hydrogen, nitrogen, oxygen, and the halogens occur naturally.","Covalent Molecules and Compounds Just as an atom is the simplest unit that has the fundamental chemical [DROP] of an element, a molecule is the simplest unit that has the fundamental chemical properties of a covalent compound. Some [DROP] elements exist as covalent molecules. Hydrogen, nitrogen, [DROP] [DROP] the halogens [DROP] naturally.","properties, pure, oxygen,, and, occur"
The pion can only be created by violating the conservation of what?,"Specifically for the strong nuclear force, Yukawa proposed that a previously unknown particle, now called a pion, is exchanged between nucleons, transmitting the force between them. Figure 33.3 illustrates how a pion would carry a force between a proton and a neutron. The pion has mass and can only be created by violating the conservation of mass-energy. This is allowed by the Heisenberg uncertainty principle if it occurs for a sufficiently short period of time. As discussed in Probability: The Heisenberg Uncertainty Principle the Heisenberg uncertainty principle relates the uncertainties ΔE in energy and Δt in time by.","Specifically for the strong nuclear force, Yukawa proposed [DROP] a previously unknown particle, now called a pion, is [DROP] between nucleons, transmitting the force between them. Figure 33.3 illustrates how a pion would carry a force between a proton and a neutron. [DROP] pion has mass and [DROP] only [DROP] created by violating the conservation of mass-energy. This is allowed by the Heisenberg uncertainty principle if it occurs for [DROP] sufficiently short period of time. As discussed in Probability: The Heisenberg Uncertainty Principle the Heisenberg uncertainty principle relates the uncertainties ΔE in energy and Δt in time by.","that, exchanged, The, can, be, a"
What kind of harm does a corrosive substance cause?,"If a substance is corrosive, it can eat through objects. Many scientists have to work with chemicals that are corrosive or otherwise dangerous. That's one reason that following safety precautions in the laboratory or field is very important.","If [DROP] substance is corrosive, it can eat through objects. Many scientists have to [DROP] with chemicals that are corrosive [DROP] otherwise dangerous. That's one reason that following safety precautions in the laboratory or field is very important.","a, work, or"
Colloids are used industrially as what?,"Suspensions and colloids are two common types of mixtures whose properties are in many ways intermediate between those of true solutions and heterogeneous mixtures. Asuspension is a heterogeneous mixture of particles with diameters of about 1 µm (1000 nm) that are distributed throughout a second phase. Common suspensions include paint, blood, and hot chocolate, which are solid particles in a liquid, and aerosol sprays, which are liquid particles in a gas. If the suspension is allowed to stand, the two phases will separate, which is why paints must be thoroughly stirred or shaken before use. A colloid is also a heterogeneous mixture, but the particles of a colloid are typically smaller than those of a suspension, generally in the range of 2 to about 500 nm in diameter. Colloids include fog and clouds (liquid particles in a gas), milk (solid particles in a liquid), and butter (solid particles in a solid). Other colloids are used industrially as catalysts. Unlike in a suspension, the particles in a colloid do not separate into two phases on standing. The only combination of substances that cannot produce a suspension or a colloid is a mixture of two gases because their particles are so small that they always form true solutions. The properties of suspensions, colloids, and solutions are summarized in Table 13.9 ""Properties of Liquid Solutions, Colloids, and Suspensions"".","Suspensions and colloids are two common types of mixtures whose properties are in many ways intermediate between those of true solutions and heterogeneous mixtures. Asuspension is a heterogeneous mixture of particles [DROP] diameters of about 1 µm (1000 nm) that are distributed throughout a second phase. Common suspensions include paint, blood, and hot chocolate, which are solid particles in a liquid, and aerosol sprays, which are liquid [DROP] in a gas. If the suspension is allowed to stand, the two phases will separate, which is why paints must be thoroughly stirred or shaken before use. A [DROP] is also a heterogeneous mixture, but the particles of a colloid are typically smaller than those of a suspension, generally in the range of 2 to about 500 nm in diameter. Colloids include fog and clouds (liquid particles in a [DROP] milk (solid particles in a liquid), and butter (solid particles in a solid). [DROP] colloids are used industrially as catalysts. Unlike in a suspension, the particles in a colloid do not separate into two phases on standing. The only combination of substances that cannot produce a suspension or a colloid is a mixture of two gases because their particles are so small that they always form true solutions. The properties [DROP] suspensions, colloids, and solutions are summarized in Table 13.9 ""Properties of Liquid Solutions, Colloids, and Suspensions"".","with, particles, colloid, gas),, Other, of"
Gain or loss of what causes an atom to become a negatively or positively charged ion?,"The girl pictured above became negatively charged because electrons flowed from the van de Graaff generator to her. Whenever electrons are transferred between objects, neutral matter becomes charged. This occurs even with individual atoms. Atoms are neutral in electric charge because they have the same number of negative electrons as positive protons. However, if atoms lose or gain electrons, they become charged particles called ions. You can see how this happens in the Figure below . When an atom loses electrons, it becomes a positively charged ion, or cation. When an atom gains electrons, it becomes a negative charged ion, or anion.","The girl pictured above became [DROP] charged because electrons flowed from the van de Graaff generator [DROP] her. Whenever electrons are transferred between objects, neutral matter becomes charged. This occurs even with individual atoms. Atoms are neutral in electric charge because they have the same number of [DROP] electrons [DROP] positive protons. However, if atoms lose or gain electrons, they become charged particles [DROP] ions. You can see how this happens in the Figure below . When an atom loses electrons, it becomes a positively charged ion, or cation. When an atom gains electrons, it becomes a negative charged ion, or [DROP]","negatively, to, negative, as, called, anion."
The chemical behavior of elements can largely be explained by what?,The chemical behavior of elements can largely be explained by electron configurations.,The [DROP] behavior of elements can largely [DROP] explained by [DROP] configurations.,"chemical, be, electron"
What elements tend to conduct well?,"While many elements differ dramatically in their chemical and physical properties, some elements have similar properties. We can identify sets of elements that exhibit common behaviors. For example, many elements conduct heat and electricity well, whereas others are poor conductors. These properties can be used to sort the elements into three classes: metals (elements that conduct well), nonmetals (elements that conduct poorly), and metalloids (elements that have properties of both metals and nonmetals). The periodic table is a table of elements that places elements with similar properties close together (Figure 1.22). You will learn more about the periodic table as you continue your study of chemistry.","While many elements differ dramatically in their chemical and physical [DROP] [DROP] elements have similar properties. We can identify sets of elements that exhibit common behaviors. For example, many elements conduct heat and electricity well, whereas [DROP] are poor conductors. These properties can be used to sort the elements into three classes: metals (elements that conduct well), nonmetals (elements that conduct [DROP] and metalloids (elements that have properties of both metals and nonmetals). The periodic [DROP] is a [DROP] of elements that places elements with similar properties close together (Figure 1.22). You will learn more about the periodic table as you continue your study of chemistry.","properties,, some, others, poorly),, table, table"
How does the bacteria look when seen with the naked eye?,"With the naked eye, bacteria just look like a slimy smear on a petri dish. How can we study them in more detail? The invention of the microscope has allowed us to see bacteria, cells, and other things too small to be seen with the naked eye.","With the naked eye, bacteria just look like a slimy smear on a petri dish. [DROP] can we study them in more detail? The invention of the microscope [DROP] allowed us to [DROP] bacteria, cells, and other things too small to be seen [DROP] the naked eye.","How, has, see, with"
The geometry of the bf 3 molecule is called what?,"The geometry of the BF 3 molecule is called trigonal planar . The fluorine atoms are positioned at the vertices of an equilateral triangle. The F-B-F angle is 120°, and all four atoms lie in the same plane.","The [DROP] of the BF 3 molecule is called trigonal planar . The fluorine atoms are positioned at the vertices of [DROP] equilateral [DROP] The F-B-F angle is 120°, and all four atoms lie in the same plane.","geometry, an, triangle."
The active site can only bind certain what?,"The active site is specific for the reactants of the biochemical reaction the enzyme catalyzes. Similar to puzzle pieces fitting together, the active site can only bind certain substrates.","The active site is specific for the reactants [DROP] the biochemical reaction [DROP] enzyme catalyzes. [DROP] to puzzle pieces fitting together, the active site can only bind certain substrates.","of, the, Similar"
What is the main type of cell in the nervous system called?,"Nervous Tissues Nervous tissues are made of cells specialized to receive and transmit electrical impulses from specific areas of the body and to send them to specific locations in the body. The main cell of the nervous system is the neuron, illustrated in Figure.","Nervous [DROP] Nervous tissues are made of cells specialized to receive and transmit electrical impulses [DROP] specific areas of [DROP] body and to send them to specific locations in the body. The main cell of the nervous system is the neuron, illustrated in [DROP]","Tissues, from, the, Figure."
"Producers, primary consumers, higher-level consumers, and decomposers are levels in what?","Food Chains and Food Webs A food chain is a linear sequence of organisms through which nutrients and energy pass as one organism eats another; the levels in the food chain are producers, primary consumers, higher-level consumers, and finally decomposers. These levels are used to describe ecosystem structure and dynamics. There is a single path through a food chain. Each organism in a food chain occupies a specific trophic level (energy level), its position in the food chain or food web. In many ecosystems, the base, or foundation, of the food chain consists of photosynthetic organisms (plants or phytoplankton), which are called producers. The organisms that consume the producers are herbivores: the primary consumers. Secondary consumers are usually carnivores that eat the primary consumers. Tertiary consumers are carnivores that eat other carnivores. Higher-level consumers feed on the next lower trophic levels, and so on, up to the organisms at the top of the food chain: the apex consumers. In the Lake Ontario food chain, shown in Figure 20.4, the Chinook salmon is the apex consumer at the top of this food chain.","Food Chains and Food Webs A food chain is a linear sequence of organisms through which nutrients [DROP] energy pass as one [DROP] eats another; the levels in the food chain are producers, primary consumers, higher-level consumers, and finally decomposers. [DROP] levels are used to describe ecosystem structure and dynamics. There is a single path through a food chain. Each organism in a food chain occupies a specific trophic level (energy level), its position in the food chain or food web. In many ecosystems, the [DROP] or foundation, [DROP] the food chain consists of photosynthetic organisms (plants or phytoplankton), which are called producers. The organisms that consume the producers [DROP] herbivores: the primary consumers. Secondary consumers are usually carnivores that eat the primary consumers. Tertiary consumers are carnivores that eat other carnivores. Higher-level consumers feed on the next lower trophic levels, and so on, up to the organisms at the top of the food chain: the apex consumers. In the Lake Ontario food chain, shown in Figure 20.4, the Chinook salmon is the apex consumer at the top of this food chain.","and, organism, These, base,, of, are"
"Birds have a flow-through respiratory system in which air flows unidirectionally from the posterior sacs into the lungs, then into these?","Figure 39.14 (a) Birds have a flow-through respiratory system in which air flows unidirectionally from the posterior sacs into the lungs, then into the anterior air sacs. The air sacs connect to openings in hollow bones. (b) Dinosaurs, from which birds descended, have similar hollow bones and are believed to have had a similar respiratory system. (credit b: modification of work by Zina Deretsky, National Science Foundation).","Figure [DROP] (a) Birds have a flow-through respiratory [DROP] in which air flows unidirectionally from the posterior sacs into the lungs, then into the anterior air sacs. The air sacs connect to openings in hollow [DROP] (b) Dinosaurs, from [DROP] birds descended, have similar hollow bones and are believed to have had [DROP] similar respiratory system. (credit b: modification of [DROP] by Zina Deretsky, National Science Foundation).","39.14, system, bones., which, a, work"
What's the name for the point reached at a ph of 7?,"As base is added to acid at the beginning of a titration, the pH rises very slowly. Nearer to the equivalence point, the pH begins to rapidly increase. If the titration is a strong acid with a strong base, the pH at the equivalence point is equal to 7. A bit past the equivalence point, the rate of change of the pH again slows down. A titration curve is a graphical representation of the pH of a solution during a titration. The Figure below shows two different examples of a strong acid-strong base titration curve. On the left is a titration in which the base is added to the acid and so the pH progresses from low to high. On the right is a titration in which the acid is added to the base. In this case, the pH starts out high and decreases during the titration. In both cases, the equivalence point is reached when the moles of acid and base are equal and the pH is 7. This also corresponds to the color change of the indicator.","As base is added to acid at the [DROP] of a titration, the pH rises very slowly. Nearer to the equivalence point, [DROP] pH begins to rapidly increase. If the titration is a strong acid with a strong base, the pH at the equivalence point is equal to 7. A bit past the equivalence point, the rate of [DROP] of the pH again slows down. A titration curve is a graphical representation of the pH of [DROP] solution during a titration. The Figure below shows two different examples of a strong acid-strong base titration curve. On the left is a titration in which the base is added to the acid and so the pH progresses from low to high. On the right is [DROP] titration in which [DROP] acid is added to the base. In this case, the pH starts out high and decreases during the titration. In both cases, the equivalence point is reached when the moles of acid and base are equal and the pH is 7. This also corresponds to the color change of the indicator.","beginning, the, change, a, a, the"
In what organ does pepsin help break down proteins?,"Acids and bases are important in living things because most enzymes can do their job only at a certain level of acidity. Cells secrete acids and bases to maintain the proper pH for enzymes to work. For example, every time you digest food, acids and bases are at work in your digestive system. Consider the enzyme pepsin, which helps break down proteins in the stomach. Pepsin needs an acidic environment to do its job, and the stomach secretes a strong acid that allows pepsin to work. However, when stomach contents enter the small intestine, the acid must be neutralized. This is because enzymes in the small intestine need a basic environment in order to work. An organ called the pancreas secretes a strong base into the small intestine, and this base neutralizes the acid.","Acids and bases are important in living things because most enzymes can do their job only at a certain level [DROP] acidity. Cells secrete acids and bases to maintain the proper pH for enzymes to work. For example, [DROP] time you digest food, [DROP] and bases are at work in your digestive system. Consider the enzyme pepsin, which helps break [DROP] proteins in the stomach. Pepsin needs an acidic environment to do its job, and the stomach secretes a strong acid that allows pepsin to work. However, when [DROP] contents enter the small intestine, the acid [DROP] be neutralized. This is because enzymes in the small intestine need a basic environment in order to work. An organ called the pancreas secretes a strong base into the small intestine, and this base neutralizes the acid.","of, every, acids, down, stomach, must"
Energy is the capacity to do work or to produce what?,Energy is the capacity to do work or to produce heat.,Energy [DROP] [DROP] capacity to do work or [DROP] produce heat.,"is, the, to"
How do birds learn to avoid eating monarch butterflies?,Birds learn through conditioning to avoid eating monarch butterflies.,Birds [DROP] [DROP] conditioning to avoid eating monarch [DROP],"learn, through, butterflies."
The cell theory and the theory of evolution by natural selection are basic to all fields in what branch of science?,"Each field of life science has its own specific body of knowledge and relevant theories. However, two theories are basic to all of the life sciences. They form the foundation of every life science field. They are the cell theory and the theory of evolution by natural selection. Both theories have been tested repeatedly. Both are supported by a great deal of evidence.","Each field of life science has its own specific body of knowledge and [DROP] theories. However, two theories are basic to all of the life sciences. They form [DROP] foundation [DROP] every life science field. They are the [DROP] theory and the theory [DROP] evolution by natural selection. Both theories have been tested repeatedly. [DROP] are supported by a great deal of evidence.","relevant, the, of, cell, of, Both"
What area beneath the earth's surface do magma collects?,Magma collects in magma chambers beneath Earth’s surface. Magma chambers are located where the heat and pressure are great enough to melt rock. These locations are at divergent or convergent plate boundaries or at hotpots.,[DROP] collects in magma chambers beneath Earth’s surface. [DROP] chambers are located where the heat and pressure are great enough to melt rock. [DROP] locations are at divergent or convergent plate boundaries or at hotpots.,"Magma, Magma, These"
"The colorless, odorless gas released when we breath is carbon dioxide. the harmful colorless, odorless gas released when matter is burned is what?","Carbon Dioxide: Every time you exhale, you release carbon dioxide into the air. It's an odorless, colorless gas. Carbon dioxide contributes to global climate change, but it isn't directly harmful to human health. Carbon Monoxide: Carbon monoxide is produced when matter burns. It's a colorless, odorless gas that is very harmful to human health. In fact, it can kill people in minutes. Because you can't see or smell carbon monoxide, it must be detected with an alarm.","Carbon Dioxide: Every time you exhale, you release carbon dioxide into [DROP] air. It's an odorless, colorless gas. Carbon dioxide contributes to global [DROP] change, but it isn't directly harmful to human health. Carbon Monoxide: Carbon monoxide is produced when matter burns. It's a colorless, odorless gas that is very harmful [DROP] human health. In fact, it can kill people [DROP] minutes. Because you [DROP] see or smell [DROP] monoxide, it must be detected with an alarm.","the, climate, to, in, can't, carbon"
